PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,pass_Id_last,Cabin_first,Cabin_end,Cabin_middle,pass_Id_first
0001_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1,B,P,0.0,1
0002_01,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,1,F,S,0.0,2
0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,1,A,S,0.0,3
0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,2,A,S,0.0,3
0004_01,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,1,F,S,1.0,4
0005_01,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,1,F,P,0.0,5
0006_01,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,1,F,S,2.0,6
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,-1.0,True,2,G,S,0.0,6
0007_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,1,F,S,3.0,7
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,1,B,P,1.0,8
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,-1.0,0.0,0.0,True,2,B,P,1.0,8
0008_03,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,3,B,P,1.0,8
0009_01,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,1,F,P,1.0,9
0010_01,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,1,G,S,1.0,10
0011_01,Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,1,F,P,2.0,11
0012_01,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False,1,NA,NA,-1.0,12
0014_01,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,-1.0,0.0,0.0,False,1,F,P,3.0,14
0015_01,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,1,F,P,4.0,15
0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,1,F,P,5.0,16
0017_01,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1,G,P,0.0,17
0017_02,Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,2,F,P,6.0,17
0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,1,E,S,0.0,20
0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,2,E,S,0.0,20
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,-1.0,0.0,0.0,False,3,E,S,0.0,20
0020_04,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,4,E,S,0.0,20
0020_05,Earth,True,PSO J318.5-22,1.0,False,-1.0,0.0,0.0,0.0,0.0,False,5,E,S,0.0,20
0020_06,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,6,E,S,0.0,20
0022_01,Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,1,D,P,0.0,22
0024_01,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,-1.0,0.0,0.0,True,1,C,S,2.0,24
0025_01,Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,1,F,S,6.0,25
0026_01,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,1,C,P,0.0,26
0028_01,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,1,F,P,8.0,28
0030_01,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,1,G,S,4.0,30
0031_01,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,1,F,P,9.0,31
0031_02,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,2,F,P,9.0,31
0031_03,Mars,False,TRAPPIST-1e,20.0,False,-1.0,0.0,1750.0,990.0,0.0,True,3,F,P,9.0,31
0034_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,1,D,S,1.0,34
0035_01,Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,1,D,P,1.0,35
0036_01,Earth,False,55 Cancri e,15.0,other,0.0,492.0,48.0,20.0,401.0,False,1,F,S,8.0,36
0038_01,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,1,F,S,10.0,38
0039_01,Earth,True,55 Cancri e,30.0,False,0.0,0.0,-1.0,0.0,0.0,False,1,G,P,1.0,39
0041_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,1,G,P,2.0,41
0043_01,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,1,B,P,3.0,43
0044_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,1,G,P,3.0,44
0044_02,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,2,G,P,3.0,44
0044_03,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,3,G,P,3.0,44
0045_01,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,1,F,P,10.0,45
0045_02,Mars,True,NA,19.0,False,0.0,0.0,0.0,0.0,0.0,True,2,F,P,10.0,45
0050_01,Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,-1.0,0.0,False,1,E,S,1.0,50
0051_01,Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,1,E,S,2.0,51
0052_01,Earth,False,TRAPPIST-1e,28.82793046746535,False,4.0,0.0,2.0,4683.0,0.0,False,1,G,S,6.0,52
0053_01,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,1,F,S,11.0,53
0056_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,1,A,S,1.0,56
0056_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,2,A,S,1.0,56
0056_03,Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,3,A,S,1.0,56
0058_01,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,1,G,S,7.0,58
0061_01,Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,1,F,S,12.0,61
0062_01,Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,1,F,S,13.0,62
0064_01,Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,1,F,S,14.0,64
0064_02,NA,True,TRAPPIST-1e,33.0,False,0.0,0.0,-1.0,0.0,0.0,True,2,E,S,3.0,64
0066_01,Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,1,G,P,6.0,66
0067_01,Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1,G,S,10.0,67
0067_02,Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True,2,G,S,10.0,67
0067_03,Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,3,F,S,15.0,67
0068_01,Mars,False,TRAPPIST-1e,28.82793046746535,False,793.0,0.0,2.0,253.0,0.0,False,1,E,S,4.0,68
0069_01,Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True,1,F,S,16.0,69
0070_01,Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False,1,F,P,13.0,70
0071_01,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,1,F,P,14.0,71
0072_01,Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,1,F,S,17.0,72
0073_01,Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False,1,D,P,3.0,73
0074_01,Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,1,C,S,3.0,74
0076_01,Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,1,F,S,18.0,76
0077_01,Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,1,F,P,15.0,77
0078_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,1,C,S,4.0,78
0081_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,1,G,S,13.0,81
0082_01,Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,1,F,P,16.0,82
0082_02,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,2,F,P,16.0,82
0082_03,Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True,3,F,P,16.0,82
0084_01,Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True,1,G,S,14.0,84
0085_01,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,1,C,S,5.0,85
0086_01,Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False,1,F,P,17.0,86
0088_01,Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True,1,E,S,5.0,88
0090_01,Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,1,G,S,15.0,90
0091_01,Earth,True,TRAPPIST-1e,26.0,False,-1.0,0.0,0.0,0.0,0.0,True,1,G,S,16.0,91
0091_02,Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False,2,F,S,20.0,91
0092_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False,1,G,P,9.0,92
0092_02,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,-1.0,0.0,0.0,True,2,G,P,9.0,92
0092_03,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,3,G,P,9.0,92
0097_01,Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,1,A,S,2.0,97
0098_01,Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False,1,G,P,11.0,98
0098_02,Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,2,G,P,11.0,98
0099_01,Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False,1,F,P,19.0,99
0099_02,Earth,other,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,2,G,P,12.0,99
0101_01,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True,1,NA,NA,-1.0,101
0102_01,Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False,1,F,S,23.0,102
0103_01,Earth,False,TRAPPIST-1e,24.0,False,0.0,-1.0,0.0,0.0,17.0,True,1,F,S,24.0,103
0103_02,Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True,2,G,S,18.0,103
0103_03,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False,3,G,S,18.0,103
0105_01,Earth,other,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,False,1,F,P,21.0,105
0107_01,Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,1,D,S,2.0,107
0108_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,False,1,G,S,19.0,108
0108_02,Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,False,2,G,S,19.0,108
0108_03,Earth,False,TRAPPIST-1e,0.0,other,0.0,0.0,0.0,0.0,0.0,True,3,G,S,19.0,108
0110_01,Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,1,NA,NA,-1.0,110
0110_02,Europa,other,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,2,B,P,5.0,110
0110_03,Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,3,B,P,5.0,110
0110_04,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,4,B,P,5.0,110
0111_01,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,1,E,S,6.0,111
0112_01,Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,1,B,S,1.0,112
0113_01,Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,True,1,F,P,23.0,113
0114_01,Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,False,1,G,S,20.0,114
0115_01,Mars,other,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,-1.0,True,1,F,P,24.0,115
0116_01,Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,1,D,P,4.0,116
0119_01,NA,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,1,A,P,0.0,119
0119_02,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,2,A,P,0.0,119
0120_01,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,-1.0,True,1,F,P,25.0,120
0122_01,Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,False,1,G,S,21.0,122
0123_01,Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,False,1,F,P,27.0,123
0126_01,Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,True,1,F,S,27.0,126
0127_01,Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,False,1,E,S,7.0,127
0128_01,Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,1,D,S,3.0,128
0128_02,Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,2,E,S,8.0,128
0129_01,Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,-1.0,0.0,0.0,True,1,G,S,22.0,129
0133_01,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,1,F,S,29.0,133
0133_02,Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,2,D,S,5.0,133
0134_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,True,1,G,P,17.0,134
0136_01,Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,False,1,G,S,23.0,136
0138_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,1,G,P,18.0,138
0138_02,Earth,False,NA,34.0,False,0.0,22.0,0.0,564.0,207.0,False,2,E,P,5.0,138
0139_01,Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,1,C,S,6.0,139
0140_01,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,1,G,P,19.0,140
0140_02,Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,False,2,F,P,29.0,140
